,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude
0,rikitea,78.98,70,99,7.45,-23.1203
1,punta arenas,53.29,54,75,19.57,-53.15
2,tiksi,-27.76,84,74,7.2,71.6872
3,kuryk,17.08,87,88,22.35,43.2
4,kapaa,71.47,78,75,17.27,22.0752
5,stornoway,49.59,76,20,24.16,58.2093
6,oranjemund,65.25,71,0,17.72,-28.55
7,bilibino,-21.48,84,100,2.46,68.0546
8,north bend,40.41,93,90,5.75,43.4065
9,bethel,38.07,65,40,6.91,41.3712
10,busselton,64.8,93,0,1.99,-33.65
11,san jeronimo,58.78,64,80,2.33,-11.9472
12,jamestown,33.3,93,90,14.97,42.097
13,bredasdorp,84.2,39,0,13.8,-34.5322
14,cape town,75.56,53,20,14.97,-33.9258
15,yeppoon,80.6,83,40,9.22,-23.1333
16,butaritari,81.39,77,86,19.1,3.0707
17,sitka,33.8,75,90,2.08,57.0531
18,moche,69.8,83,71,6.91,-8.1711
19,lima,74.37,69,0,6.91,-12.0432
20,alofi,75.2,94,98,1.14,-19.0595
21,dhidhdhoo,82.29,72,11,8.5,6.8833
22,kenai,-3.64,84,20,3.44,60.5544
23,inza,-18.69,86,57,10.16,53.8533
24,bluff,64.99,61,84,3.0,-46.6
25,albany,36.63,56,100,3.38,42.6001
26,mar del plata,73.65,40,0,8.05,-38.0023
27,malanje,75.22,80,73,2.59,-9.5402
28,vardo,12.2,85,90,25.32,70.3705
29,hilo,64.71,82,90,4.61,19.7297
30,east london,75.2,83,75,18.41,-33.0153
31,buraydah,62.6,63,20,17.27,26.326
32,saint-philippe,76.71,61,0,20.71,-21.3585
33,ancud,60.67,72,75,13.8,-41.8697
34,saint george,33.8,51,1,1.32,37.1041
35,boden,15.8,92,75,6.91,65.8252
36,vao,78.48,78,23,15.41,-22.6667
37,palana,-5.33,92,3,9.1,59.1167
38,gamba,82.58,75,44,9.15,-2.65
39,abu kamal,55.31,26,0,4.43,34.4506
40,rock sound,76.12,80,37,13.6,24.9
41,coihaique,64.4,55,0,5.75,-45.5752
42,yellowknife,-25.29,75,20,3.51,62.456
43,chokurdakh,-34.31,84,60,8.03,70.6333
44,narsaq,23.0,36,20,4.18,60.9167
45,palmer,38.77,75,75,5.75,42.1584
46,hithadhoo,83.14,75,57,13.94,-0.6
47,hobyo,77.85,74,45,19.01,5.3505
48,pevek,-17.21,88,100,6.33,69.7008
49,banda aceh,79.23,77,97,7.38,5.5577
50,mayo,45.54,65,75,17.27,38.8876
51,port alfred,73.0,80,10,5.99,-33.5906
52,hermanus,73.99,67,0,4.0,-34.4187
53,nelson bay,64.44,100,75,5.75,-32.7167
54,barrow,-41.8,86,1,10.36,71.2906
55,lewisporte,26.4,68,90,16.11,49.2499
56,alzamay,-4.56,90,93,1.39,55.5562
57,tigil,-3.32,89,2,4.59,57.8
58,niksar,38.55,74,3,0.34,40.5917
